dataset,angle,embedding,pushforward,E_star,k,theiler_w,n_samples
REAL,theta2,F1(theta),500,0.10786318842890819,100,200,5000
REAL,theta2,F2(sinθ),500,0.16012344100295497,100,200,5000
REAL,theta1,F1(theta),500,0.08069111036165896,100,200,5000
REAL,theta1,F2(sinθ),500,0.10826107776130721,100,200,5000
SIM,theta2,F1(theta),500,0.8893210141305421,100,200,5000
SIM,theta2,F2(sinθ),500,1.1439500543390448,100,200,5000
SIM,theta1,F1(theta),500,0.7207275700964993,100,200,5000
SIM,theta1,F2(sinθ),500,0.8320923514151145,100,200,5000
REAL,theta2,F1(theta),700,0.10814561831330953,100,200,5000
REAL,theta2,F2(sinθ),700,0.18189282773776683,100,200,5000
REAL,theta1,F1(theta),700,0.07851877326496827,100,200,5000
REAL,theta1,F2(sinθ),700,0.12302759390732712,100,200,5000
SIM,theta2,F1(theta),700,0.9266167427194286,100,200,5000
SIM,theta2,F2(sinθ),700,1.2568918844123353,100,200,5000
SIM,theta1,F1(theta),700,0.7487905496430949,100,200,5000
SIM,theta1,F2(sinθ),700,0.9789231805008247,100,200,5000
REAL,theta2,F1(theta),900,0.10985987659635026,100,200,5000
REAL,theta2,F2(sinθ),900,0.18789215075902735,100,200,5000
REAL,theta1,F1(theta),900,0.08022208570973201,100,200,5000
REAL,theta1,F2(sinθ),900,0.12379894140690467,100,200,5000
SIM,theta2,F1(theta),900,0.9426912593828934,100,200,5000
SIM,theta2,F2(sinθ),900,1.3286706503779817,100,200,5000
SIM,theta1,F1(theta),900,0.7916722392391231,100,200,5000
SIM,theta1,F2(sinθ),900,1.0919804293121576,100,200,5000
REAL,theta2,F1(theta),1100,0.11778224974771967,100,200,5000
REAL,theta2,F2(sinθ),1100,0.20777401026351036,100,200,5000
REAL,theta1,F1(theta),1100,0.08523113177790578,100,200,5000
REAL,theta1,F2(sinθ),1100,0.11833156130619572,100,200,5000
SIM,theta2,F1(theta),1100,0.974046567852204,100,200,5000
SIM,theta2,F2(sinθ),1100,1.352146344136247,100,200,5000
SIM,theta1,F1(theta),1100,0.8147245304218376,100,200,5000
SIM,theta1,F2(sinθ),1100,1.1302295798298856,100,200,5000
REAL,theta2,F1(theta),1300,0.12209189762127398,100,200,5000
REAL,theta2,F2(sinθ),1300,0.22573143561973202,100,200,5000
REAL,theta1,F1(theta),1300,0.09259774519136378,100,200,5000
REAL,theta1,F2(sinθ),1300,0.11308790616307933,100,200,5000
SIM,theta2,F1(theta),1300,1.0308762140222418,100,200,5000
SIM,theta2,F2(sinθ),1300,1.3474792541197802,100,200,5000
SIM,theta1,F1(theta),1300,0.8416869936921166,100,200,5000
SIM,theta1,F2(sinθ),1300,1.1513182052227295,100,200,5000
REAL,theta2,F1(theta),1500,0.1317144815069739,100,200,5000
REAL,theta2,F2(sinθ),1500,0.23186503291299476,100,200,5000
REAL,theta1,F1(theta),1500,0.09643288678172114,100,200,5000
REAL,theta1,F2(sinθ),1500,0.11632038572126494,100,200,5000
SIM,theta2,F1(theta),1500,1.011256783002125,100,200,5000
SIM,theta2,F2(sinθ),1500,1.3733905344158688,100,200,5000
SIM,theta1,F1(theta),1500,0.8431193250510173,100,200,5000
SIM,theta1,F2(sinθ),1500,1.1735222982917777,100,200,5000
REAL,theta2,F1(theta),1700,0.1368498320936566,100,200,5000
REAL,theta2,F2(sinθ),1700,0.24599584032870897,100,200,5000
REAL,theta1,F1(theta),1700,0.09614460349863259,100,200,5000
REAL,theta1,F2(sinθ),1700,0.12856985832998102,100,200,5000
SIM,theta2,F1(theta),1700,1.0172299677561343,100,200,5000
SIM,theta2,F2(sinθ),1700,1.4201102402569294,100,200,5000
SIM,theta1,F1(theta),1700,0.8604329798507706,100,200,5000
SIM,theta1,F2(sinθ),1700,1.2065948982462902,100,200,5000
REAL,theta2,F1(theta),2000,0.1474356033747871,100,200,5000
REAL,theta2,F2(sinθ),2000,0.27733553226633156,100,200,5000
REAL,theta1,F1(theta),2000,0.09215187401947697,100,200,5000
REAL,theta1,F2(sinθ),2000,0.144303315436017,100,200,5000
SIM,theta2,F1(theta),2000,1.039204408819116,100,200,5000
SIM,theta2,F2(sinθ),2000,1.4039671205879956,100,200,5000
SIM,theta1,F1(theta),2000,0.8428302848575316,100,200,5000
SIM,theta1,F2(sinθ),2000,1.2490464157070766,100,200,5000
