dataset,angle,embedding,pushforward,E_star,k,theiler_w,n_samples
REAL,theta2,F1(theta),500,0.10786318842890819,100,200,5000
REAL,theta2,F2(sinθ),500,0.16012344100295497,100,200,5000
REAL,theta1,F1(theta),500,0.08069111036165896,100,200,5000
REAL,theta1,F2(sinθ),500,0.10826107776130721,100,200,5000
REAL,theta2,F1(theta),700,0.10814561831330953,100,200,5000
REAL,theta2,F2(sinθ),700,0.18189282773776683,100,200,5000
REAL,theta1,F1(theta),700,0.07851877326496827,100,200,5000
REAL,theta1,F2(sinθ),700,0.12302759390732712,100,200,5000
REAL,theta2,F1(theta),900,0.10985987659635026,100,200,5000
REAL,theta2,F2(sinθ),900,0.18789215075902735,100,200,5000
REAL,theta1,F1(theta),900,0.08022208570973201,100,200,5000
REAL,theta1,F2(sinθ),900,0.12379894140690467,100,200,5000
REAL,theta2,F1(theta),1100,0.11778224974771967,100,200,5000
REAL,theta2,F2(sinθ),1100,0.20777401026351036,100,200,5000
REAL,theta1,F1(theta),1100,0.08523113177790578,100,200,5000
REAL,theta1,F2(sinθ),1100,0.11833156130619572,100,200,5000
REAL,theta2,F1(theta),1300,0.12209189762127398,100,200,5000
REAL,theta2,F2(sinθ),1300,0.22573143561973202,100,200,5000
REAL,theta1,F1(theta),1300,0.09259774519136378,100,200,5000
REAL,theta1,F2(sinθ),1300,0.11308790616307933,100,200,5000
REAL,theta2,F1(theta),1500,0.1317144815069739,100,200,5000
REAL,theta2,F2(sinθ),1500,0.23186503291299476,100,200,5000
REAL,theta1,F1(theta),1500,0.09643288678172114,100,200,5000
REAL,theta1,F2(sinθ),1500,0.11632038572126494,100,200,5000
REAL,theta2,F1(theta),1700,0.1368498320936566,100,200,5000
REAL,theta2,F2(sinθ),1700,0.24599584032870897,100,200,5000
REAL,theta1,F1(theta),1700,0.09614460349863259,100,200,5000
REAL,theta1,F2(sinθ),1700,0.12856985832998102,100,200,5000
REAL,theta2,F1(theta),2000,0.1474356033747871,100,200,5000
REAL,theta2,F2(sinθ),2000,0.27733553226633156,100,200,5000
REAL,theta1,F1(theta),2000,0.09215187401947697,100,200,5000
REAL,theta1,F2(sinθ),2000,0.144303315436017,100,200,5000
