m,tau,pushforward,theiler_w,E_raw,E_log,delta_E,delta_E_pct
6,4,1,20,1.473973773564282,0.591489797636739,0.8824839759275429,59.87107720333238
6,10,1,50,1.7826605325008658,0.7218250346650981,1.0608354978357677,59.508553563338204
5,10,1,40,1.4497230052078447,0.6040794459709011,0.8456435592369436,58.33138856175527
5,4,1,16,1.2519036253639797,0.532420969775421,0.7194826555885587,57.47108970783398
6,8,1,40,1.6794309255521758,0.7148325037229385,0.9645984218292373,57.43602830893979
5,8,1,32,1.4885084063700182,0.643900327155562,0.8446080792144562,56.74190858445853
4,8,1,24,1.2614094585264293,0.5579825275463862,0.703426930980043,55.76515430618239
4,10,1,30,1.1604245184640982,0.5167248154578821,0.6436997030062162,55.47105328817053
4,4,1,12,1.043397853494527,0.46676038763516714,0.5766374658593598,55.26534906393542
6,2,1,10,1.0242949433492294,0.5320473716228552,0.49224757172637423,48.05720997868329
4,2,1,6,0.7324846606120365,0.38266254214034046,0.3498221184716961,47.75828591132515
5,2,1,8,0.8784104505659779,0.46198340890744066,0.4164270416585372,47.40688608499873
4,1,1,3,0.5686551641099067,0.29999687987116397,0.2686582842387427,47.244499161326154
5,1,1,4,0.672708301079676,0.3569234237560777,0.31578487732359833,46.942319102763165
6,1,1,5,0.7786578130746443,0.4179053661859614,0.3607524468886829,46.33003622787769
6,8,6,40,2.824795983100254,0.9211817887527679,1.9036141943474862,67.38944000685821
5,8,6,32,2.580332466610525,0.8523910032033314,1.727941463407194,66.96584590422893
6,10,6,50,2.548198426802148,0.8476269306331617,1.7005714961689864,66.73622737861557
5,10,6,40,2.1655284534130064,0.7341662237476256,1.4313622296653807,66.09759513477948
4,10,6,30,1.9812596621714533,0.6785849708729392,1.302674691298514,65.74982149844949
4,8,6,24,2.231967115863447,0.7697009019249234,1.4622662139385234,65.51468449268971
6,4,6,20,1.9246444774341689,0.6646424448399532,1.2600020325942158,65.46674190310627
