group,config,spearman_vs_baseline,median_relative_change_E,max_relative_change_E
baseline,baseline,1.0,0.0,0.0
k,k=20,1.0,0.4198756423536312,0.52360250455815
k,k=100,1.0,0.5544830229641361,0.6190323419663739
horizon,n=5,0.990909090909091,0.41437978920747,0.699321972234319
horizon,n=10,1.0,0.14869866642883323,0.4312864777073481
horizon,n=40,1.0,0.19508133892940585,0.49356456276088767
theiler,w=0,1.0,0.030872099902911055,0.06977991686075925
theiler,w=10,1.0,0.018301777606313744,0.060148857708286
theiler,w=60,1.0,0.005012400922059802,0.03509267310891036
query_count,Nq=1000,1.0,0.021950879710052894,0.05341362739832015
query_count,Nq=2500,1.0,0.020086368852368322,0.03305309404921859
query_count,Nq=10000,1.0,0.003939368206186212,0.01755576755607176
noise,noise=0.01,0.8545454545454545,0.10374529636465044,0.7824273989734044
noise,noise=0.05,0.9090909090909091,0.7515074079077374,1.101896072066166
noise,noise=0.1,0.9818181818181818,0.9107663673915845,2.5890840184709285
