group,config,embedding,valid_runs,total_runs,pushforward,k,n_samples,theiler_w,noise_level,E_star_k_mean,E_star_k_std,CondVar_mean,CondVar_std,PredErr_mean,PredErr_std,MeanDisp_mean,MeanDisp_std,NeighborDisp_mean,NeighborDisp_std,median_rk_mean,median_rk_std,q90_rk_mean,q90_rk_std,mean_rk_mean,mean_rk_std
baseline,baseline,x_x_x,10,10,20,50,5000,30,0.0,0.10902234530128227,0.0029678018381451513,0.20646370752894416,0.019558898850240015,0.08774441462061125,0.0037581878367243457,0.11223865380624232,0.003443356472880658,0.149751218581402,0.004087694774564459,0.0660766130508879,0.00032033066350955363,0.19152927892155178,0.0017337128664324428,0.13532132755945897,0.0028760413983423922
baseline,baseline,y_y_y,10,10,20,50,5000,30,0.0,0.04524408081663885,0.0005127112347166969,0.005113958171294001,0.0003015861372867174,0.036449154666337524,0.0007840145166010464,0.04583711214714532,0.0005398719518898003,0.06196200076829137,0.0006788173633220986,0.06544672935513332,0.00031263014414338895,0.16765670942632754,0.0017010507715544655,0.08552101650851121,0.0006646260853687398
baseline,baseline,z_z_z,10,10,20,50,5000,30,0.0,14.3653659705802,0.4352439830611613,5432.213277652427,302.4591068510843,12.116130995380471,0.7144778243614893,14.592232819456376,0.47738917912283196,19.601731111449602,0.6050097350481469,0.06951531913075967,0.00122123622760338,16.844902718558586,0.6629718023924127,21.398221807929417,0.9649356411542399
baseline,baseline,y_z_y,10,10,20,50,5000,30,0.0,4.708682857082371,0.17028392121803412,387.2434160931322,15.632606838998642,4.748521706815778,0.16204223028344286,4.847224287469915,0.17739367665555925,5.644808476138424,0.20614291516645164,0.0659691950881631,0.0006436174240531002,0.925998416593367,0.040158053755512894,0.548193701988299,0.014000969050505038
baseline,baseline,x_y_x,10,10,20,50,5000,30,0.0,0.04547599684379538,0.0004933724954428044,0.005189356311747684,0.00032878554251853807,0.036747215883926126,0.0008072521456986633,0.04607723123278951,0.000519981187248833,0.06230564159034807,0.0006560081097727303,0.06552294267721238,0.000275202528518367,0.1672095122098804,0.0020962935204790335,0.08614685822559949,0.0006775370460351952
baseline,baseline,x_y_y,0,10,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
baseline,baseline,y_z_z,10,10,20,50,5000,30,0.0,12.10803211906736,0.3879509540822442,5232.29825362572,280.7396343386271,12.58654704660547,0.7375123156361324,13.023336775671797,0.45956214144367746,17.23675878622067,0.5553954849973773,0.08204049399399917,0.0024556611921501305,7.912959763128176,0.6326708195729747,7.066409754312085,0.30904585974295723
baseline,baseline,x_z_z,10,10,20,50,5000,30,0.0,12.154997753190191,0.38954743063223546,5233.281754613932,280.78032004338627,12.653735775714589,0.7389491238063359,13.079379527273648,0.4610004731109321,17.298443806279685,0.556885337179787,0.07008224420812423,0.001137543966710293,7.907183994819469,0.6350447641777653,7.037799250101275,0.30904997836539
baseline,baseline,x_z_x,10,10,20,50,5000,30,0.0,4.702063880367374,0.169735097677068,386.9631147776236,15.59124748444284,4.726571161892932,0.16085497132574453,4.841670453802718,0.17656442274268014,5.639194340210884,0.20550393856258836,0.06279451409105591,0.0007555147856706877,0.9122498894567034,0.03728977206520214,0.5437117226873646,0.014005531753145563
baseline,baseline,y_plus_z,10,10,20,50,5000,30,0.0,0.7332343632808586,0.030423267538556904,20.246826409460873,1.5771926066448299,0.5775729342537111,0.03045387326204028,0.7796739576733265,0.03601018637377062,1.0344906930019113,0.04301482518074985,0.06262761498150657,0.0005608666423673148,0.3897222571179615,0.02886582395820745,0.48973930165051655,0.019072138322409563
baseline,baseline,x_plus_z,10,10,20,50,5000,30,0.0,1.8801775727468537,0.08392141211046918,137.06831991107038,9.089649906470555,1.9221341823126838,0.13776598729164433,2.0394394653555965,0.0936186038377767,2.5919329753270324,0.11056861972863341,0.06287769246617232,0.000645665390386622,0.6794353647853494,0.040571543919687446,0.6112810746204087,0.01921975553974365
baseline,baseline,x_plus_y,10,10,20,50,5000,30,0.0,0.0897108128155247,0.0020463473828747523,0.11488436153934692,0.011797255876574458,0.07595333442803234,0.0030071570641607365,0.09215070175768415,0.0024026446429570906,0.12331034612709657,0.0027312459219220263,0.06403410605756742,0.0003675916511649035,0.18250814082719757,0.001633941976664941,0.11760302944751481,0.002252025900986224
k,k=20,x_x_x,10,10,20,20,5000,30,0.0,0.06709531168695865,0.002098441624130369,0.08177902237760015,0.012065901405182284,0.07171506532251656,0.0034587799337773622,0.06984867181651944,0.002393256931544039,0.09164385027323388,0.002728175117525718,0.03540711834056793,0.00021445533140534715,0.16606007987789126,0.001646553755092231,0.081691498383309,0.001782301363573692
k,k=20,y_y_y,10,10,20,20,5000,30,0.0,0.026247193321053013,0.00036153914037944556,0.0020424065475917524,0.0001407207388262141,0.029809332055669484,0.0007599179287055703,0.02686922693382663,0.00041671905483411757,0.03674175323712932,0.000472335302465195,0.03657228918629937,0.00027572114586384226,0.13702645601788677,0.0017208379852347512,0.05391313534488186,0.0006372036778889461
k,k=20,z_z_z,10,10,20,20,5000,30,0.0,8.9787657187848,0.271626085814101,2311.2391354281003,185.63738215868023,8.905494125759349,0.6464261177161792,9.261448562410418,0.29266665241951695,12.45205473267168,0.3687784769136927,0.04102770092401,0.001204613382648652,10.015171033375745,0.3317869922413719,13.03482097729137,0.6827390091915458
k,k=20,y_z_y,10,10,20,20,5000,30,0.0,4.024767612285076,0.16275995328453038,358.0878126288097,14.92318915037908,3.8765773594310646,0.1314301062196867,4.230931655274246,0.1696789268956528,5.021768675609651,0.20277128345671164,0.037748544165482956,0.0003846101373836267,0.5377356124054452,0.022356892745335092,0.26908070241256044,0.0058020919366241815
k,k=20,x_y_x,10,10,20,20,5000,30,0.0,0.026262039266664365,0.00033417734927999713,0.0020653810289307565,0.00011567009393154491,0.02990136299478733,0.000752043355535544,0.026911082880703412,0.00038115339631926084,0.036867204169746925,0.00043722001595066493,0.03675369066664298,0.0002568721477706073,0.13643902516419107,0.001489535939878486,0.05425925595673166,0.0006469176567829646
k,k=20,x_y_y,0,10,20,20,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
k,k=20,y_z_z,10,10,20,20,5000,30,0.0,6.9642503772655315,0.24736705624735997,1672.930891145224,157.80512939429008,8.43693795295725,0.6142489966568464,7.3435455789800885,0.27886063771313746,9.74772049835626,0.3239753486979371,0.046152674586159195,0.0008939525740885138,4.448341580427886,0.4542593967871233,3.6715748109597053,0.17363760183374544
